author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/308362463/,Москва,sale,flat,21,37,2,60.1,23900000.0,Раменки,Мосфильмовская ,98к2,Аминьевская,Огни
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/308473239/,Москва,sale,flat,2,27,2,49.5,21208325.0,Щукино,,,Щукинская,Октябрьское Поле ЖК
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/305658950/,Москва,sale,flat,2,9,2,74.0,30000000.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,Вестердам
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/308589364/,Москва,sale,flat,38,40,2,115.4,71000000.0,Обручевский,Профсоюзная ,64к2,Новые Черёмушки,Дирижабль
MR Group,developer,https://www.cian.ru/sale/flat/306067906/,Москва,sale,flat,2,57,2,40.53,26210751.0,Филевский парк,,,Фили,Фили Сити ЖК
ID 109135729,realtor,https://www.cian.ru/sale/flat/307434429/,Москва,sale,flat,3,21,2,59.2,61000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Plus Development,developer,https://www.cian.ru/sale/flat/308704170/,Москва,sale,flat,3,23,2,41.5,8342330.0,,,,Филатов Луг,Детали ЖК
Главстрой,developer,https://www.cian.ru/sale/flat/307942491/,Москва,sale,flat,7,35,1,39.22,18847239.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/299655879/,Москва,sale,flat,14,24,2,46.0,31000000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
Юлия Полянина,realtor,https://www.cian.ru/sale/flat/300400833/,Москва,sale,flat,19,24,1,37.8,13390000.0,Митино,Муравская ,44к2,Пятницкое шоссе,Митинский лес
Forma,developer,https://www.cian.ru/sale/flat/299852244/,Москва,sale,flat,16,29,2,65.2,25687170.0,Аэропорт,Часовая ,28к8,Сокол,SOUL
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/296106356/,Москва,sale,flat,6,7,2,96.0,260000000.0,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор
Эльдар Кудинов,realtor,https://www.cian.ru/sale/flat/308944363/,Москва,sale,flat,2,12,1,28.2,12800000.0,Раменки,Мичуринский проспект,38,Раменки,
Мангазея,developer,https://www.cian.ru/sale/flat/308902252/,Москва,sale,flat,9,21,2,74.2,36448375.0,Щукино,Щукинская ,,Щукинская,Интонация
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/308064930/,Москва,sale,flat,5,24,2,75.0,48000000.0,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,Сердце Столицы
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306826191/,Москва,sale,flat,4,4,2,75.7,35900000.0,Марьина роща,проезд 12-й Марьиной рощи,8С2,Марьина Роща,Лофт-квартал Studio #12
Tekta Group,developer,https://www.cian.ru/sale/flat/305021240/,Москва,sale,flat,24,34,1,30.0,17691000.0,Обручевский,,,Воронцовская,Эвер ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304869833/,Москва,sale,flat,44,44,2,86.3,38000000.0,Хорошево-Мневники, Шеногина,,Шелепиха,Sydney City
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/308738584/,Москва,sale,flat,18,41,1,30.2,15600000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
MR Group,developer,https://www.cian.ru/sale/flat/308909121/,Москва,sale,flat,6,13,1,85.04,130383328.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
ID 88675389,unknown,https://www.cian.ru/sale/flat/299351553/,Москва,sale,flat,2,6,2,70.0,31600000.0,Москворечье-Сабурово,переулок 1-й Котляковский,2Ак3,Варшавская,LIFE Варшавская
Est-a-Tet Агент,real_estate_agent,https://www.cian.ru/sale/flat/308886354/,Москва,sale,flat,25,28,2,57.9,33200000.0,Раменки,Винницкая ,8к4,Раменки,Настоящее
MR Group,developer,https://www.cian.ru/sale/flat/307999752/,Москва,sale,flat,6,59,2,34.6,13833080.0,Можайский,Верейская ,29С32А,Давыдково,SET
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/308929771/,Москва,sale,flat,5,17,2,60.0,18550000.0,Марьино,Новочеркасский бульвар,47,Марьино,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/308009678/,Москва,sale,flat,12,17,2,57.8,27927000.0,Раменки,Мичуринский проспект,21К1,Раменки,
Стадион Спартак,developer,https://www.cian.ru/sale/flat/298406172/,Москва,sale,flat,4,13,2,66.7,32609630.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298547671/,Москва,sale,flat,4,22,2,66.0,34500000.0,Кунцево, Академика Павлова,28,Молодёжная,Академика Павлова
Estes,real_estate_agent,https://www.cian.ru/sale/flat/308894978/,Москва,sale,flat,13,17,2,67.7,27700000.0,Даниловский, Трофимова,9К2,Автозаводская,
MR Group,developer,https://www.cian.ru/sale/flat/307788196/,Москва,sale,flat,18,47,2,57.84,25912320.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
ID 13044325,unknown,https://www.cian.ru/sale/flat/308859379/,Москва,sale,flat,22,32,1,37.35,17780000.0,Нижегородский,Газгольдерная ,10,Нижегородская,Profit
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296565916/,Москва,sale,flat,4,8,2,65.0,39900000.0,Тверской,Благовещенский переулок,5,Маяковская,
Regions Development,developer,https://www.cian.ru/sale/flat/308070861/,Москва,sale,flat,11,24,2,58.1,,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
BRAUMOST,real_estate_agent,https://www.cian.ru/sale/flat/293943948/,Москва,sale,flat,5,10,1,48.5,23500000.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307295985/,Москва,sale,flat,3,24,1,42.6,21500000.0,Даниловский,Автозаводская ,23Бк2,ЗИЛ,Парк Легенд
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,139410000.0,Якиманка,,,Полянка,Лаврушинский ЖК
Romanov Estate,real_estate_agent,https://www.cian.ru/sale/flat/306079971/,Москва,sale,flat,15,20,2,79.4,29870000.0,Нагатино-Садовники,Варшавское шоссе,37АК1,Нагатинская,Rotterdam
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296403571/,Москва,sale,flat,4,8,2,64.0,39900000.0,Тверской,Благовещенский переулок,5,Маяковская,
Аеон-Девелопмент,developer,https://www.cian.ru/sale/flat/302037458/,Москва,sale,flat,2,46,2,63.8,44757291.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301042658/,Москва,sale,flat,24,79,1,72.0,70000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/306924872/,Москва,sale,flat,10,12,2,44.0,10800000.0,Дмитровский,Клязьминская ,4,Грачёвская,
TOUCH,developer,https://www.cian.ru/sale/flat/302838421/,Москва,sale,flat,7,13,1,45.3,27171760.0,Южнопортовый,,к2,Дубровка,Шампайн ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308239254/,Москва,sale,flat,12,19,2,84.0,59000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,Сердце Столицы
ID 52259631,realtor,https://www.cian.ru/sale/flat/308377607/,Москва,sale,flat,13,14,2,38.4,14000000.0,Чертаново Центральное,Чертановская ,43К1,Пражская,
Absolute Premium,developer,https://www.cian.ru/sale/flat/304065733/,Москва,sale,flat,9,18,1,49.8,60432000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
